	#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id	Taxonomy
108177	GCF_003339765.1	PRJNA528504	SAMN09435472	QNVO00000000.2	reference genome	9544	9544	Macaca mulatta	na	AG07107	latest	Chromosome	Major	Full	2019/02/13	Mmul_10	The Genome Institute at Washington University School of Medicine	GCA_003339765.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/339/765/GCF_003339765.1_Mmul_10	na	na	na	haploid	vertebrate_mammalian	2971314966	2936876169	41.0	22	2978	3267	NCBI RefSeq	NCBI Macaca mulatta Annotation Release 103	2019-03-24	40304	21121	11989	22367542;15379855	Mammals
109243	GCF_003369695.1	PRJNA508959	SAMN08473802	PUFS00000000.2	reference genome	30522	30522	Bos indicus x Bos taurus	breed=Angus x Brahman F1 hybrid	na	latest	Chromosome	Major	Full	2018/11/30	UOA_Brahman_1	University of Adelaide	GCA_003369695.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/369/695/GCF_003369695.1_UOA_Brahman_1	na	na	na	alternate-pseudohaplotype	vertebrate_mammalian	2680953056	2679316559	42.0	30	1250	1250	NCBI RefSeq	NCBI Bos indicus x Bos taurus Annotation Release 100	2018-12-21	32783	20846	6980	na	Mammals
115578	GCF_003668045.3	PRJNA498699	SAMN07140313	RAZU00000000.2	reference genome	10029	10029	Cricetulus griseus	strain=17A/GY	na	latest	Chromosome	Minor	Full	2020/06/11	CriGri-PICRH-1.0	CHO Genome Community	GCA_003668045.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/668/045/GCF_003668045.3_CriGri-PICRH-1.0	na	na	na	haploid	vertebrate_mammalian	2366634374	2364209596	41.5	11	647	647	NCBI RefSeq	NCBI Cricetulus griseus Annotation Release 104	2020-06-25	32251	21776	5354	29704459;32410221	Mammals
116281	GCF_003704035.1	PRJNA738144	SAMN10150431	RCWR00000000.1	reference genome	230844	10042	Peromyscus maniculatus bairdii	na	BW	latest	Chromosome	Major	Full	2020/09/17	HU_Pman_2.1.3	Harvard University / Howard Hughes Medical Institute	GCA_003704035.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/704/035/GCF_003704035.1_HU_Pman_2.1.3	na	na	na	haploid	vertebrate_mammalian	2512423440	2387876961	42.5	24	8523	155965	NCBI RefSeq	NCBI Peromyscus maniculatus bairdii Annotation Release 102	2021-06-28	36461	22079	10324	na	Mammals
123510	GCF_004115215.2	PRJNA534073	SAMN08537700	RZJT00000000.2	reference genome	9258	9258	Ornithorhynchus anatinus	na	Pmale09	latest	Chromosome	Major	Full	2020/11/06	mOrnAna1.pri.v4	Vertebrate Genomes Project	GCA_004115215.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/115/215/GCF_004115215.2_mOrnAna1.pri.v4	na	na	na	haploid	vertebrate_mammalian	1859264908	1844106806	46.0	31	321	321	NCBI RefSeq	NCBI Ornithorhynchus anatinus Annotation Release 105	2021-03-03	30497	18152	11382	15008398;8919867;33408411;33910595;33911273	Mammals
123511	GCF_004115265.2	PRJNA613604	SAMN09948510	RXPC00000000.1	reference genome	59479	59479	Rhinolophus ferrumequinum	na	MPI-CBG mRhiFer1	latest	Chromosome	Minor	Full	2019/05/16	mRhiFer1_v1.p	Vertebrate Genomes Project	GCA_004115265.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/115/265/GCF_004115265.2_mRhiFer1_v1.p	na	na	na	haploid	vertebrate_mammalian	2075768562	2068222471	40.5	28	134	134	NCBI RefSeq	GCF_004115265.2-RS_2023_02	2023-02-27	27139	19652	3499	33910595;32699395;33911273	Mammals
123992	GCF_004126475.2	PRJNA524358	SAMN09948786	RXPA00000000.2	reference genome	89673	89673	Phyllostomus discolor	na	MPI-MPIP mPhyDis1	latest	Chromosome	Major	Full	2020/05/12	mPhyDis1.pri.v3	Vertebrate Genomes Project	GCA_004126475.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/126/475/GCF_004126475.2_mPhyDis1.pri.v3	na	na	na	haploid	vertebrate_mammalian	2108832841	2093744005	42.5	17	77	77	NCBI RefSeq	NCBI Phyllostomus discolor Annotation Release 101	2020-08-31	31980	19754	6797	32699395;33910595;33911273	Mammals
129354	GCF_004664715.2	PRJNA533285	SAMN03488028	NMRJ00000000.2	reference genome	10041	10041	Peromyscus leucopus	breed=LL Stock	na	latest	Chromosome	Major	Full	2020/10/02	UCI_PerLeu_2.1	University of California Irvine	GCA_004664715.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/664/715/GCF_004664715.2_UCI_PerLeu_2.1	na	na	na	haploid	vertebrate_mammalian	2475164510	2474036133	42.0	24	1856	1856	NCBI RefSeq	NCBI Peromyscus leucopus Annotation Release 101	2020-10-29	32259	22198	5165	31355335	Mammals
134789	GCF_006229205.1	PRJNA553468	SAMN11840572	VCRZ00000000.1	reference genome	37032	37032	Suricata suricatta	na	VVHF042	latest	Chromosome	Major	Full	2019/07/03	meerkat_22Aug2017_6uvM2_HiC	DNA Zoo	GCA_006229205.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/229/205/GCF_006229205.1_meerkat_22Aug2017_6uvM2_HiC	na	na	na	haploid	vertebrate_mammalian	2353578744	2346940644	41.5	18	63791	63791	NCBI RefSeq	NCBI Suricata suricatta Annotation Release 100	2019-07-11	35499	19608	10957	na	Mammals
137647	GCF_006542625.1	PRJNA564096	SAMN11124083	VIFL00000000.1	reference genome	61853	61853	Nomascus leucogenys	na	Asia	latest	Chromosome	Major	Full	2019/07/02	Asia_NLE_v1	University of Washington	GCA_006542625.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/542/625/GCF_006542625.1_Asia_NLE_v1	na	na	na	haploid	vertebrate_mammalian	2843966406	2828874251	41.0	26	2376	2761	NCBI RefSeq	NCBI Nomascus leucogenys Annotation Release 103	2019-09-09	33914	20527	6207	23874967	Mammals
138998	GCF_007474595.2	PRJNA558991	SAMN09948483	VHLE00000000.2	reference genome	61383	61383	Lynx canadensis	na	LIC74	latest	Chromosome	Major	Full	2020/07/14	mLynCan4.pri.v2	Vertebrate Genomes Project	GCA_007474595.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/474/595/GCF_007474595.2_mLynCan4.pri.v2	na	na	na	haploid	vertebrate_mammalian	2407810255	2405030913	41.5	20	54	54	NCBI RefSeq	NCBI Lynx canadensis Annotation Release 102	2020-08-31	29379	19742	6045	33910595;33911273	Mammals
139078	GCF_007565055.1	PRJNA565017	SAMN11039125	VMRL00000000.1	reference genome	61622	61622	Rhinopithecus roxellana	na	Shanxi Qingling	latest	Chromosome	Major	Full	2019/07/29	ASM756505v1	Northwest University	GCA_007565055.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/565/055/GCF_007565055.1_ASM756505v1	na	na	na	haploid	vertebrate_mammalian	3038460517	3038177455	41.0	22	3256	3256	NCBI RefSeq	NCBI Rhinopithecus roxellana Annotation Release 101	2019-09-16	34842	21094	6235	16500120	Mammals
143162	GCF_008632895.1	PRJNA578167	SAMN07635206	VSBT00000000.1	reference genome	35658	35658	Mastomys coucha	na	ucsf_1	latest	Chromosome	Major	Full	2019/09/24	UCSF_Mcou_1	University of California, San Francisco	GCA_008632895.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/632/895/GCF_008632895.1_UCSF_Mcou_1	na	na	na	haploid	vertebrate_mammalian	2507168619	2303603146	41.5	2	27	27	NCBI RefSeq	NCBI Mastomys coucha Annotation Release 100	2019-10-18	37046	20166	10440	31424545	Mammals
143503	GCF_008692025.1	PRJNA606521	SAMN12325353	VOSU00000000.1	reference genome	42100	42100	Phocoena sinus	na	mPhoSin1	latest	Chromosome	Major	Full	2019/09/26	mPhoSin1.pri	Vertebrate Genomes Project	GCA_008692025.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/692/025/GCF_008692025.1_mPhoSin1.pri	na	na	na	haploid	vertebrate_mammalian	2371524154	2363478510	41.5	22	64	64	NCBI RefSeq	NCBI Phocoena sinus Annotation Release 100	2020-02-18	26497	19069	4238	na	Mammals
143887	GCF_008728515.1	PRJNA576697	SAMN11179045	VSMJ00000000.1	reference genome	9555	9555	Papio anubis	na	15944	latest	Chromosome	Major	Full	2019/10/02	Panubis1.0	University of California, San Francisco	GCA_008728515.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/728/515/GCF_008728515.1_Panubis1.0	na	na	na	haploid	vertebrate_mammalian	2869804647	2867493934	41.0	22	11144	11144	NCBI RefSeq	NCBI Papio anubis Annotation Release 104	2019-10-15	39274	21087	11295	23180628;35325119	Mammals
149172	GCF_009762305.2	PRJNA602522	SAMN12368149	WPOA00000000.2	reference genome	9704	9704	Zalophus californianus	na	mZalCal1	latest	Chromosome	Major	Full	2020/07/14	mZalCal1.pri.v2	Vertebrate Genomes Project	GCA_009762305.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/762/305/GCF_009762305.2_mZalCal1.pri.v2	na	na	na	haploid	vertebrate_mammalian	2409668595	2391130833	41.5	19	46	46	NCBI RefSeq	NCBI Zalophus californianus Annotation Release 101	2020-07-29	32543	21397	5732	16815048;34097816	Mammals
150071	GCF_009806435.1	PRJNA896980	SAMN12179861	VIYN00000000.2	reference genome	9986	9986	Oryctolagus cuniculus	breed=New Zealand White	DNA-2018	latest	Chromosome	Major	Full	2021/02/04	UM_NZW_1.0	Shanghai Institutes for Biological Sciences	GCA_009806435.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/806/435/GCF_009806435.1_UM_NZW_1.0	na	na	na	haploid	vertebrate_mammalian	2841489785	2775608463	44.0	22	3159	3159	NCBI RefSeq	GCF_009806435.1-RS_2023_02	2023-02-27	37497	22458	8764	9653643	Mammals
151035	GCF_009829155.1	PRJNA602914	SAMN12611999	WNLY00000000.1	reference genome	36723	36723	Mustela erminea	na	mMusErm1	latest	Chromosome	Major	Full	2020/01/03	mMusErm1.Pri	Vertebrate Genomes Project	GCA_009829155.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/829/155/GCF_009829155.1_mMusErm1.Pri	na	na	na	haploid	vertebrate_mammalian	2445200799	2423716823	41.5	23	93	93	NCBI RefSeq	NCBI Mustela erminea Annotation Release 100	2020-01-23	34309	20934	8982	na	Mammals
151255	GCF_009834535.1	PRJNA605179	SAMN12102236	VSZR00000000.1	reference genome	419612	419612	Camelus ferus	na	YT-003-E	latest	Chromosome	Major	Full	2020/01/08	BCGSAC_Cfer_1.0	The Bactrian Camels Genome Sequencing and Analysis Consortium	GCA_009834535.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/834/535/GCF_009834535.1_BCGSAC_Cfer_1.0	na	na	na	haploid	vertebrate_mammalian	2087077296	2086842796	41.5	37	2042	2042	NCBI RefSeq	NCBI Camelus ferus Annotation Release 102	2020-02-11	33358	20222	10708	32012460;19292708;17640355	Mammals
151809	GCF_009873245.2	PRJNA607322	SAMN12287136	VNFC00000000.3	reference genome	9771	9771	Balaenoptera musculus	na	JJ_BM4_2016_0621	latest	Chromosome	Major	Full	2020/10/02	mBalMus1.pri.v3	G10K	GCA_009873245.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/873/245/GCF_009873245.2_mBalMus1.pri.v3	na	na	na	haploid	vertebrate_mammalian	2374852541	2348915467	41.0	23	105	105	NCBI RefSeq	NCBI Balaenoptera musculus Annotation Release 100	2020-10-26	27194	19686	4527	38376487;15475160;8308901;8412655;15008398	Mammals
152969	GCF_009914755.1	PRJNA807723	SAMN03255769	na	na	9606	9606	Homo sapiens	na	na	latest	Complete Genome	Major	Full	2022/01/24	T2T-CHM13v2.0	T2T Consortium	GCA_009914755.4	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/914/755/GCF_009914755.1_T2T-CHM13v2.0	na	na	na	haploid	vertebrate_mammalian	3117275501	3117275501	41.0	24	24	24	NCBI RefSeq	GCF_009914755.1-RS_2024_08	2024-08-23	58422	20071	20977	35357919	Mammals
155605	GCF_011064425.1	PRJNA612505	SAMN12855339	JAAIVD000000000.1	reference genome	10117	10117	Rattus rattus	na	New Zealand	latest	Chromosome	Major	Full	2020/03/04	Rrattus_CSIRO_v1	CSIRO	GCA_011064425.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/064/425/GCF_011064425.1_Rrattus_CSIRO_v1	na	na	na	haploid	vertebrate_mammalian	2382770976	2382218255	42.0	20	2172	2172	NCBI RefSeq	NCBI Rattus rattus Annotation Release 100	2020-03-13	32100	21597	3708	18725306	Mammals
155817	GCF_011100555.1	PRJNA939228	SAMN12368443	JAALXP000000000.2	reference genome	9483	9483	Callithrix jacchus	na	mCalJac1	latest	Chromosome	Major	Full	2021/04/28	mCalJa1.2.pat.X	Vertebrate Genomes Project	GCA_011100555.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/555/GCF_011100555.1_mCalJa1.2.pat.X	na	na	na	haploid	vertebrate_mammalian	2874864526	2861174012	41.0	24	1233	1233	NCBI RefSeq	GCF_011100555.1-RS_2023_03	2023-03-02	42308	22355	11190	na	Mammals
155818	GCF_011100635.1	PRJNA667932	SAMN12629507	JAANDE000000000.1	reference genome	9337	9337	Trichosurus vulpecula	na	mTriVul1	latest	Chromosome	Major	Full	2020/03/10	mTriVul1.pri	Vertebrate Genomes Project	GCA_011100635.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/100/635/GCF_011100635.1_mTriVul1.pri	na	na	na	haploid	vertebrate_mammalian	3359330516	3340634060	39.5	10	211	211	NCBI RefSeq	NCBI Trichosurus vulpecula Annotation Release 100	2020-10-08	31401	22532	1969	11454299	Mammals
157215	GCF_011762505.1	PRJNA632612	SAMN12611849	JAAOMG000000000.1	reference genome	61156	61156	Arvicanthis niloticus	na	mArvNil1	latest	Chromosome	Major	Full	2020/03/27	mArvNil1.pat.X	Vertebrate Genomes Project	GCA_011762505.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/762/505/GCF_011762505.1_mArvNil1.pat.X	na	na	na	haploid	vertebrate_mammalian	2496761438	2476471911	41.5	23	1595	1595	NCBI RefSeq	NCBI Arvicanthis niloticus Annotation Release 100	2020-05-13	31912	22234	3877	36344967	Mammals
157216	GCF_011762595.1	PRJNA625792	SAMN12326775	JAAOMD000000000.1	reference genome	9739	9739	Tursiops truncatus	na	mTurTru1	latest	Chromosome	Major	Full	2020/03/27	mTurTru1.mat.Y	Vertebrate Genomes Project	GCA_011762595.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/762/595/GCF_011762595.1_mTurTru1.mat.Y	na	na	na	haploid	vertebrate_mammalian	2378505825	2372283309	41.5	23	361	361	NCBI RefSeq	NCBI Tursiops truncatus Annotation Release 102	2020-04-20	28904	19240	6398	19166626	Mammals
169857	GCF_014441545.1	PRJNA681562	SAMN14478636	JAAUVH000000000.1	na	9615	9612	Canis lupus familiaris	breed=Labrador retriever	SID07034	latest	Chromosome	Major	Full	2020/09/03	ROS_Cfam_1.0	The Roslin Institute	GCA_014441545.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/441/545/GCF_014441545.1_ROS_Cfam_1.0	na	na	na	haploid	vertebrate_mammalian	2396858295	2384195665	41.0	40	376	376	NCBI RefSeq	NCBI Canis lupus familiaris Annotation Release 106	2020-12-08	42271	20949	15885	na	Mammals
174915	GCF_015220235.1	PRJNA678727	SAMN12612024	JADCNF000000000.1	reference genome	27675	27675	Choloepus didactylus	na	mChoDid1	latest	Chromosome	Major	Full	2020/11/03	mChoDid1.pri	Vertebrate Genomes Project	GCA_015220235.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/235/GCF_015220235.1_mChoDid1.pri	na	na	na	haploid	vertebrate_mammalian	3214686105	3133693710	40.0	29	145	145	NCBI RefSeq	NCBI Choloepus didactylus Annotation Release 100	2020-11-16	41055	23549	5050	na	Mammals
178898	GCF_015852505.1	PRJNA687514	SAMN12634963	JADRJE000000000.1	reference genome	9261	9261	Tachyglossus aculeatus	na	mTacAcu1	latest	Chromosome	Major	Full	2020/12/09	mTacAcu1.pri	Vertebrate Genomes Project	GCA_015852505.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/852/505/GCF_015852505.1_mTacAcu1.pri	na	na	na	haploid	vertebrate_mammalian	2213004214	2182186851	45.5	36	310	310	NCBI RefSeq	NCBI Tachyglossus aculeatus Annotation Release 100	2020-12-28	31147	18929	10055	na	Mammals
179604	GCF_016077325.2	PRJNA688408	SAMN08939908	JADWZW000000000.2	reference genome	9793	9793	Equus asinus	breed=Dezhou	na	latest	Chromosome	Major	Full	2021/10/14	ASM1607732v2	Dairy Cattle Research Center, Shandong Academy of Agricultural Sciences	GCA_016077325.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/077/325/GCF_016077325.2_ASM1607732v2	na	na	na	haploid	vertebrate_mammalian	2431907375	2428378425	41.5	32	50	50	NCBI RefSeq	NCBI Equus asinus Annotation Release 101	2021-10-19	38517	21649	13602	33293529	Mammals
180731	GCF_016432865.1	PRJNA769689	SAMN16807749	JADWMD000000000.1	reference genome	38775	38775	Antechinus flavipes	ecotype=Samford, QLD, Australia	AdamAnt	latest	Chromosome	Major	Full	2021/01/06	AdamAnt_v2	Nanjing Normal University	GCA_016432865.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/432/865/GCF_016432865.1_AdamAnt_v2	na	na	na	haploid	vertebrate_mammalian	3192643918	3192334918	36.0	7	485	485	NCBI RefSeq	GCF_016432865.1-RS_2023_02	2023-02-25	27226	20412	4502	na	Mammals
180735	GCF_016433145.1	PRJNA769689	SAMN16807781	JADWME000000000.1	reference genome	191870	191870	Gracilinanus agilis	na	LMUSP501	latest	Chromosome	Major	Full	2021/01/06	AgileGrace	Nanjing Normal University	GCA_016433145.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/433/145/GCF_016433145.1_AgileGrace	na	na	na	haploid	vertebrate_mammalian	3701017385	3395586705	38.0	7	60713	60713	NCBI RefSeq	NCBI Gracilinanus agilis Annotation Release 100	2021-10-18	26561	21142	1963	na	Mammals
181487	GCF_016509475.1	PRJNA756971	SAMN16486448	JADZGN000000000.1	reference genome	37029	37029	Prionailurus bengalensis	na	Pbe53	latest	Chromosome	Major	Full	2021/01/06	Fcat_Pben_1.1_paternal_pri	Texas A&M University	GCA_016509475.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/509/475/GCF_016509475.1_Fcat_Pben_1.1_paternal_pri	na	na	na	haploid	vertebrate_mammalian	2435702060	2435689660	42.0	19	83	122	NCBI RefSeq	NCBI Prionailurus bengalensis Annotation Release 100	2021-08-30	30727	20003	6864	33305796	Mammals
